circuit_name,depth,depth_overhead,mapper,mapping,method,operation_count,relative_depth_overhead,runtime_seconds,seed,swap_count,topology,two_qubit_count
cnot_chain,3,0,basic,,,3,0.0,0.00036949999957869295,,0,line4,3
cnot_chain,3,0,weighted,"{1: 1, 2: 2, 0: 0, 3: 3}",,3,0.0,0.00033489999987068586,,0,line4,3
cnot_chain,3,0,sabre,,qiskit_sabre,3,0.0,0.09122579999893787,7,0,line4,3
star,5,2,basic,,,5,0.6666666666666666,0.0021177999988140073,,2,line4,5
star,4,1,weighted,"{0: 1, 1: 0, 2: 2, 3: 3}",,4,0.3333333333333333,0.0004381000017019687,,1,line4,4
star,5,2,sabre,,qiskit_sabre,5,0.6666666666666666,0.012911300000268966,7,2,line4,5
random_like,11,8,basic,,,13,2.6666666666666665,0.000833099998999387,,8,line4,13
random_like,5,2,weighted,"{0: 1, 3: 2, 1: 0, 2: 3}",,7,0.6666666666666666,0.0003946999986510491,,2,line4,7
random_like,7,4,sabre,,qiskit_sabre,9,1.3333333333333333,0.01168369999868446,7,4,line4,9
